Ulasan,Sentimen
ini mana siaran timnas kok ngga ada? padahal udah beli platinum yang 50 ribu,Negatif
Sudah langganan malah makin lelet terus berputar terus padahal jaringan ok,Negatif
"Kurang lengkap GK ada rcti nya,,, rugi saya langganan, tidak berguna bagi saya , karna saya mencari aplikasi yg bisa nonton pertandingan sepak bola yg lengkap. Kemarin arab Saudi vs Indonesia ajh di siarin di RCTI, bukan di video. Rugi saya tidak dapat menonton kualifikasi piala dunia putaran 3 live Indonesia... Auto uninstall!!!",Negatif
TV live baik,Positif
Maaf ya saya kasih bintang 1 karrna saya lagi nonton terus pengan buka wa pas balik lagi ke vidio malah ngg bisa di buka seiris itu udah di refresh tapi ngga bisa bisa 😡😡😡😡,Negatif
"Gajls masa film ke sukaan ku ilang,balikin film ku dong tolonggg,dari jendela smp",Negatif
Bisa liat live d vidio,Positif
Sangat bagus film filmnya,Positif
Terimakasih,Positif
Top,Positif
"Sangat baguss,saya menyukai nyaa",Positif
Aku pakai ini. Karena aku mau nonton sinetron kesayangan,Positif
"Alhamdulillah sekarang bisa nonton tayangan kesayangan melalui apk vidio,🥰",Positif
Ini apilikasi baru kaya nya kamu bisa melindungi..ulasan bersefat poblik ini serta menyertakan..ini akun perangkat..galaxy...fiksi..nonfiksi..galaxy..pelajari..lebih lanjut..Tandai..sebagai...tidak..pantas...Tandai..sebagai...spam...1 .orang..merasa..ulasan..dan..rating..ini.membantu....apakah..ulasan.ini.membantu..ya..tidak...kuberi..rating..ini..untuk..ponsel.........,Negatif
Aku suka acaranya lengkap,Positif
Kalau belum bisa buat aplikasi. Minimal jangan kecewakan orang yang sudah bayar,Negatif
Kembalikan siaran rcti buat nonton bola,Negatif
makin gk menarik sama sekali ketika dimana bola siaran live pasti channelnya dihilangkan. udah biasa. trs buat apa app vidio,Negatif
Apk apaan ini nonton timnas aja ngk ada,Negatif
Tiga dul bintanya kalau bagus nt tambah lg dua bintangnya,Negatif
sangat tidak puas aplikasi tukang bohong katanya berlangganan bisa nonton live timnas tp bohong,Negatif
Ga bisa nonton timnas maen,Negatif
👎,Negatif
Timnas tolong timnas di siarin..berbayar kog g ada tayangan spesial,Negatif
Udah beli voucher buat nonton bola malah gada Chanel nya 😴,Negatif
Bola,Positif
Kenapa tidak ada siaran RCTI nya,Negatif
Bad,Negatif
"Ini gimana vidio, tiap bulan sudah langganan mau nonton timnas nggak ada. Tolong kalau buat jangan nanggung gini, rugi udah langganan tiap bulannya. Nonton premier league juga nggak komplit",Negatif
Sangat membantu nonton bola,Positif
Lumayan lah,Positif
"Hp cuma satu, instal vidio pake emulator bayar 40an ribu bulanannya, pas di pake di emulator gk bisa diputar vidio live streaming nya. Di pindahkan ke HP bisa.. Masalahnya kalo nonton pake hp kerjaan terganggu, atau nontonnya terganggu saat ada kerjaan.. 😂 nyesel berlangganan. Sumpah..",Negatif
Parah sii berlangganan tapi gak ada satu series pun yg bisa ditonton,Negatif
Ok,Positif
"Beli paket pake poin di XL gak bisa nonton juga,,percuma buang buang point aje",Negatif
"Kalau mw di download layak di pikir 100 kali, gak lengkap bola nya, dah di buat mahal paket , lebih baik aplikasi lain yg lengkap walau dari luar negri, bola piala dunia punya Indonesia pun gak di ambil parah lu min",Negatif
paketnya terlalu mahal,Negatif
Saya udh langanan hp saya ilang saya datar peke no hp n mau kembikan lagi,Positif
"Kenapa dah suka tiba tiba Freeze atau black screen sendiri, padahal jelas jelas sinyalnya bagus hp juga ga ada masalah",Negatif
Parah.. tiba2 pulsa kepotong pdahal belum waktunya perpanjangan. Gak lagi langganan,Negatif
paket belum aktiv udah isi 2 kali dan no respon email hadeh,Negatif
Terlalu boros penggunaan kuota internet,Negatif
Hahaha,Negatif
Good,Positif
"Saya udh langganan tapi ttep aja muter"" gajelas emng percuma saya beli mahal""",Negatif
Susahnya tu lk d apk video....gk bisah nonton live timnam indonesia putaran 3 kualifikasi piala dunia😒,Negatif
"Sudah berlangganan jga sudah byar, film/series gk bisa dilihat dan ditonton, padahal sdah aktif langganan masih aja suruh beli paket langganan, padahal sudah tertera paket aktif sampai bulan berikutnya, tolong diperbaiki lagi aplikasinya, ini saya sudah 2x pembayaran dan 2x pengalaman kejadian sama, pelanggan/penonton merasa dirugikan.",Negatif
Saya sangat menyukai aplikasi ini karna banyak vidio yang saya sukai Semoga aplikasi ini selalu ada untuk kami,Positif
Aplikasi mama,Positif
kenapa akun saya tidak bisa di hapus di apk ini ?,Negatif
"karna aplikasi ini bagus bagi sya,jadi saya kasih bintang 4",Positif
bagus,Positif
Gila boros bgt kuota ku cuma nonton 1 episode mana iklan mulu lagi dah buat kalian jangan download ni apk boros kuota,Negatif
Waw keren,Positif
Pelit,Negatif
"Saya sudah berlangganan tpi paket saya tidak bisa di gunakan untuk menonton,sudah mahal kualitas buruk dan selebihnya paket langganan saya tidak bisa di gunakan!!!",Negatif
Banyak iklan g bisa nonton jelek bgtz hampir setiap detik iklan asu vidio,Negatif
Xnxxcom,Negatif
"Dulu sy suka aplikasi ini, klu kt ketinggalan sinetron favorit krn krjaa, bisa kt nntn siaran ulangnya. Skrg dah gk bs malah bnyk siaran2 baru yg hrus prabyar. Kecewa",Negatif
mantap,Positif
Ok,Positif
Gak bisa ditonton.buat apa di download,Negatif
"Gak banget suka berhenti sendiri, suka ngelag padahal internet gue lancar",Negatif
"Udh punya paket, harus bikin pket lg🥴😬",Negatif
Udah berlangganan masih aja iklan mulu aplikasi kaga jelas,Negatif
Aplikasi video ini bagus banget bisa buat nonton apa saja saya langsung kasih bintang 🌟🔯🌟🔯🌟,Positif
Udah beli paket ko tbtb eror pas nonton gelas kaca episode 7. Tulisan eror ada sudah memiliki,Negatif
Uhj,Positif
Ok 👌,Positif
Untuk Aplikasi streaming bagus cuman tinggal miripin aja seperti youtube sama recomended harus ada fitur di vidio,Positif
Anak tiri kah Barca mana ga ada tanyangan ulangnya mana replay sering eror,Negatif
"kemrin baru beli tv changhong katanya kalo beli tv itu dapet gratis premium platinum tapi inii gabisa, ga ada udah nge gmail tapi ga dapet solusinya, merasa tertipu... gimana caranyaa dong di bantu",Negatif
Jangan download apk ini jelek banga,Negatif
Alhamdulillah bagus,Positif
Ok,Positif
"Sangat buruk, sulit diputar",Negatif
"baru juga langganan, buat play video aja muter terus. pepeq pepeq...",Negatif
Ok,Positif
Tanpa ada pemberitahuan memotong saldo dana kami,Negatif
"Proses berhenti langganan nya gagal(tidak ada pilihan berhenti langganan), di bulan ini saya harus bayar lagi, padahal saya sudah tidak mau berlangganan",Negatif
Apknya tidak untuk di sarankan jelek bgt,Negatif
Er,Negatif
Apaan terlalu bnyk iklan setiap 5 mnit iklan,Negatif
"alhamdulillah sudah normal lagi, terimakasih banyak vidio 😊👌💯",Positif
Deleng Bae durung,Negatif
bagus and mantap bgt,Positif
Muter mulu,Negatif
Sangat cocok buat hiburan,Positif
Terima kasih,Positif
Sekarang vidieo sangat susah masuk gagal terus pada hal sinyal bagus emang aneh,Negatif
harus banget ya bayar? baru aja nonton 2 ep udh disuruh bayar,Negatif
Episode lanjutan berbayar. Sudah dibayar cuma loading aja gak bisa diputar. Buang uang percuma,Negatif
Tidak ada mnc tv dan gtv,Negatif
"Udah langganan terus tp suk kesel tiba tiba pas nonton loading lama ,udah gtu video nya tiba tiba berhenti dan harus ngulang dr awal...bnerin dulu deh apk nya",Negatif
Gak bisa nonton!! Tiap klik putar selalu balik lg ke halaman utama..ngeselin bgt.,Negatif
"Kendala saat mau beli paket langganan, tapi tidak bisa",Negatif
Ini adalah aplikasi pencarian uang Tanpa sebab uang dana berkurang Ini aplikasi pencurian...🖕🏻🖕🏻,Negatif
Wah terima kasih ..sekarang udah ada tayangan sport paralimpik nya ..mudah2an di perbanyak ya🙏,Positif
"lag, buffering mulu ga recommend mending netflix, disney dll",Negatif
"Admin ngotak dikit dong masa iya match Madrid selalu dikedepankan daripada tim² lain mana highlightnya paling lama pula,kita bayar mau dapat yang setara semuanya lah.....apa² pasti madrid nomer 1 mau kalian apasih....kalao ada apk streaming selain vidio dah gak mau lagi beli paket di vidio👎👎👎",Negatif
"Tolong dong mau voting aja susah bgt udah masuk ke chanel SCTV terus pilih voting lalu keterangannya "" yah koneksi internet mati"" padahal video live pun berjalan dan jaringan normal² saja.",Negatif
"Gara "" aplikasi ini hp saya rusak dan ngeleg saya harus ganti hp baru lagi",Negatif
Gambarnya jernih.,Positif
"gak jelas, nonton isinya iklan semua gak habis habis, buat penonton jadi gak nyaman.",Negatif
Knapa gak bisa lihat trans7 pas acara laporpak sih aneh banget Trus slalu pindah k cenel lain padahal sebelum nya lihat acara trans7 arisan bisa pas lapor pak gak bisa,Negatif
"Kecewa udah pembayaran di potong 2 kali tapi paket ga aktif, ke cs nya via email si suruh ss bla bla ternyata salah email gmn sih vidio rugi 2 kali tpi yang aktif malah salah email gmn sih",Negatif
Bagus,Positif
Bagus,Positif
Paket premier league yang khusus hp udah ngga ada+mahal,Negatif
Siaran favorit saya zee bioskop sudah tidak ada lagi di vidio,Negatif
Aplikasi jelek.. Sudah beli premium banyak lag,Negatif
"Iklan yg promo trailer series thailand ""the lady and her lover"" sering muncul di youtube tolong dihapus!! Lagi asik nonton tiba-tiba muncul adegan tusuk dada, adegan cipokan. Oke gue dewasa cukup kaget, bagaimana jika lagi nonton sama anak kecil? Merusak mental generasi muda! Iklan 18+ lepas di yg beneran vip aja!",Negatif
Text di film terlalu kecil.,Negatif
kmrn saya isi saldo d xl g lgs k potong..dan saya beli langganan video..tp skrg sy ada saldo xl.knp lgs dpotong?curang banget km aplikasi video..,Negatif
"replay full match sepak bola sering telat dan lama update, padahal memutuskan buat berlangganan karna biar bisa liat replay, malah replay full match nya telat lama, KACAU",Negatif
Tolong dong harga premium nya di kasih diskon,Negatif
Aplikasinya mudah di gunakan,Positif
Sayangnya tidak dipakai buat internetan yaa..,Negatif
Tolong dong banyak in film horror nya please ....,Negatif
Kenapa sih filemnya tdk lengkap sprt koleksi film ryan delon kn sangat banyak tp di sini cm ada sedikit sekali dn di samping itu pencarian sangat sulit slh satu huruf tdk ketemu dn yg sangat parah sering eror ketika di putar lagi malah di ulang dr awal lagi sangat mengecewakan,Negatif
"CC tidak vd*12 e ffqv,3_"",©©©©¥¥©•©<Z",Negatif
Anjayyy beli paket sebulan masa baru seminggu udh nyedot dana lgii🤣🖕,Negatif
Aplikasinya sangat bagusss,Positif
Sudah saya hapus apknya muncul Mulu iklan ini,Negatif
Bagus,Positif
"aplikasi nya sangat tidak di sarankan, ga memuaskan, Lola, streaming keseringan gabisa, pikir pikir lagi aja kalo mau langganan di vidio ya?!",Negatif
Tidak ada liga italia,Negatif
Aplikasi ini sangat bagus. Tapi sayangnya hanya sedikit vidio. Dan vidio lainnya harus pakai premium,Negatif
mantapp,Positif
Di setiap aplikasi ara ajab iklan video ini sangat menggangu,Negatif
Buset. Tiap buka aplikasi selalu diarahkan buat beli paket. Segitukah kurang uang?,Negatif
Sudah berlangganan tapi knp buffering mulu. Padahal jaringan bagus next lebih baik uninstal.,Negatif
Udah langganan masih aja ada iklan.,Negatif
Mantap,Positif
"Konten tidak tersedia di perangkat saya, mksutnya gimana min",Negatif
Kecewa bener dengan aplikasi ini Udah download video..nonton video nya juga harus pake jaringan . Gak ada guna bayar mahal mahal toh kalo nonton video yang udah didownload aja masih pake internet Itu pula sudah di download masih kadang buffering..aplikasi gaje.buatan indo gak pernah jelas,Negatif
Kenapa sekarang pembelian paket gabisa pakai saldo google play,Negatif
"KOCAK WKWK GWEH DAH BAYAR MAHAL"" PAKET EPL EH TETEP GA BISA NONTON MANA UDH KESEDOT SALDO GWEH WKWKWK APLIKASI GA NIAT",Negatif
Internet stabil 40mbps tapi sering bufering & keluar tulisan tidak bisa memuat halaman.. Nonton 1 pertandingan bisa sampe 10x lebih,Negatif
Aplikasi bodong!!,Negatif
setiap nonton series selalu ngebug,Negatif
APK KONTOLLLL PEMBAYARAN GAGAL TERUS MEMANG APK ANJENG,Negatif
"Tayangan liga tidak lengkap, banyak yang hilang terutama Serie A",Negatif
Kenapa naik si platinum + premier league semua prangkat,Negatif
gw bayar 100k lebih tapi kok ga bisa di screenshot???,Negatif
Pada saat nonton bola link nya keluar terus.,Negatif
"Beli paket platinum cuma bisa dipake sekali streaming, setelah ini mau nonton apapun ga bisa konek, semua vidio ga bisa ditonton, payah.",Negatif
"Terlalu banyak iklan. Ada 2 iklan, masing2 iklan 25 detik. Lebih baik, hpus aja aplikasi nya",Negatif
Setatus paket aktifi ga bisa login,Negatif
"Assalamu'alaikum aplikasi nya sudah bagus, cuman episode nya kurang banyak, tolong di perbanyak episode nya, karena saya sudah nonton video sinetron pangeran tapi knp cmn sampai di 158, padahal saya ingin kelanjutan episode nya sampai tamat, tolong di perbaiki episode nya harus di lengkapi sampai tamat",Negatif
"Sudah langanan malah gak bisa kepakek, sumpah nyesel aplk gak berguna merugikan",Negatif
Mengapa punya ku apk vidio nya harus pakai VPN baru bisa dibuka padahal udah beli paket im3 yang 150 yang ada gratis vidio nya dan kalau pakai vpn itu semua live olah raga gak bisa ditonton,Negatif
nice,Positif
Capek-capek beli paket premium pas nonton ga bisa...👎,Negatif
"Bagus, sangat membantu",Positif
cukup memuaskan,Positif
Tidak bisa membuka aplikasi,Negatif
"Sinyal 4g TPI ga bisa dibuka, udah langganan paket juga",Negatif
Kenapa sudah sy download aplikasi vidio tidak ada sport Liga Italia Seri A,Negatif
Yang 39rb kok ada EPL nya biasanya ada,Negatif
"Sejauh ini udh keren sih aplikasinya, cuma tolong di tambah fitur hapus histori tontonan.",Positif
Maaf ya kenapa ya saya beli paket nya nggak bisa mohon penjelasannya 🙏,Negatif
Lumayan,Positif
"Tolong perbaiki aplikasi burik ini, masa setiap nonton skarang ulang EPL video selalu freeze tapi suara tetap jalan, setelah freeze tiba-tiba buffering lama sampe gak bisa diputar lagi dan harus close app dan mulai ulang supaya video bisa ditonton. Dan setelah itu semua terulang lagi freeze lagi terus menerus. Intinya ini aplikasi jelek padahal kita udah bayar untuk berlangganan",Negatif
Sering nge bug !,Negatif
"Sudah beli paket SPOTV 14hari gak bisa ditonton.. awas pembohongan publik...!!! Cuma mau cari untung saja tu vidio,, penangananya lambat, SDM nya rendah...!!!",Negatif
Nonton replay selalu macet walopun suara jalan terus. Nonton live dan film tidak ada kendala. Tarif naik namun tidak ada perbaikan dari sebelumnya,Negatif
"Di mohon untuk Resolusi tolong kembalikan seperti dahulu 144p, 240p, 360p, ... kami sangat tidak nyaman ketika menggunakan resolusi medium / hard, karna saat di tengah video sering mengalami loading dan itu sangat mengganggu kenyamanan kami.",Negatif
Kenapa tidak bisa lagi bayar via pulsa kak?,Negatif
"Aplikasi gak jelas udahmah bayar tapi sering stop vidio nya sama sering keluar sendiri, mending jangan langganan rugi.",Negatif
"Apa ini jaringan lancar kok gak bisa buat beli paket,udah gtu akun juga gda kendala.tolong lah di perbaiki wahai Developer",Negatif
"nyebelin , slalu berlangganan tp ngelagggggg terus!!!!",Negatif
"aplikasi penipu, saya sudah berlangganan paket diamond +liga Inggris seharga 800san pertahun, utk dapat nonton liga Italia, sekarang paketnya turun 500san utk paket diamond +liga Inggris, tepat berlangganan paket setahun untuk aplikasi penipu",Negatif
"Apk bsk, nonton TV lokal saja harus berlangganan",Negatif
"Vidio kurang ajar, iklan ada seri A, giliran dipaketin ga bisa penipu va ikhlas gw",Negatif
Kok gak ada serie A?,Negatif
Sudah beli paket lengkap tp Seri A liga Italia tidak ada. Update Apk selalu di update. Ini bagaimana kok liga Seri A Italia tidak tersedia???? Beneran ya vidio ini.. Liga Italia menghilang,Negatif
Sangat membantuku,Positif
Tombol cast ke tv hilang,Negatif
Bayar gak bisa tf bank lagi dan lewat telkkmsel juga gak bisa,Negatif
Apakah seri a jdi disiarkan??? Beli paket 150 hanya untuk seri a.. Tpi malah ngga bisa nonton..,Negatif
👍,Positif
Kebanyakan ikan dan banyak film/drama yang berlangganan,Negatif
Kayaknya memang siaran liga Itali seri A 2024-2025 sudah tidak di tayangkan di aplikasi vidio yaa?,Positif
"Internet kencang, buat nnton yutub lancar aja, giliran ksini udah beli paket nonton mahal2, tpi nnton bola atau motogp live buffering mulu. Apa2an",Negatif
liga inggrisnya naik jauh harganya,Negatif
Okelah,Positif
Fiel ini selalu eror,Negatif
Ok,Positif
Aplikasi selalu eror padahal jaringan lancar. Tidak bisa di putar Tidak rekomendasi..,Negatif
Saya mencari film toy story kok tidak ada mengecewakan,Negatif
"Gileee, paket primer league mahal banget skrg 1jt lebih setahun, harga makin naik tapi perangkat semakin dibatasi hanya 1 😝 2 tahun lalu masih bisa di perangkat, tahun lalu 2, 1 hp 1 TVm sekarang pilih tv apa hp ga bs bersamaan ya ،😆😆 2. Saya coba klik beli paket yg katanya promo untuk hp dan tablet bukan tdk termasuk tv. Kan kalau sampai di tahap akhir pembayaran harus ada konfirmasi kalau pembayaran lewat apa kan hrus masukka. Sandi dulu kok ini tiba2 kebeli? Kok tdk bisa di tablet office?",Negatif
Nonton Liga Inggris gambar patah - patah ...,Negatif
"Buruk,beli paket premium tetapi ngak mau aktif,padahal transaksi berhasil pulsa ke potong,sudah di komplain lewat email,tetapi sampai sekarang tidak ada perbaikan atau pun solusi yang ada malah rugi,mana email nya yg di tanyak nama akun dan bukti transaksi terus,sekali sudah dikirimin nama akun dan bukti transaksi nya malah ngak ada respon atau pun perbaikan.bukan untung malah rugi",Negatif
"tiba tiba pula ada transaksi di sini,transaksi otomatis katanya paket platinum saldo berkurang",Negatif
"Gini amat nasib aku, sebelum langganan SPOTV vidio/siaran bisa diputar/play, tpi hitungan menit disuruh berlangganan untuk melanjutkan menonton. Giliran udah berlangganan vidio/siaran tidak bisa diputar yg ada hanya layar hitam. Diaplikasi SPOTV udah berlangganan juga seperti itu. Ini aplikasi nya yg error apa channel nya yg error",Negatif
Kenapa setiap iklan suaranya.lebih besar keceng..ngeganggu klo nonton malam malam.,Negatif
udah ga kaya dlu sekarang mata duit bgt sekali² ke vocer dlu serinh sekarang,Negatif
Buruh wirasuasta,Positif
Nanya dong kok aplikasi video di tv android saya ketika live la liga gak jalan yaa muncul barcode terus .kenapa ya?,Negatif
Sering lag,Negatif
apknya bagus banget,Positif
Karna vidio com ini sangat bagus Saya suka dengan tontonan saya sendiri makanya say kasih lima bintang,Positif
"Mantaaap.. app streaming terfavorit saat ini.. oiya, Liga Super Malaysia masukin ke aplikasi nya bang... biar kubeli paketnya.",Positif
Mantap,Positif
Apk sue,Negatif
Iklannya menyiarkan Liga Italia....setelah berlangganan setahun ternyata Eeee... Ternyata di prank... 😡😡😡😡😡,Negatif
Banyak iklan yang gak jelas. Seperti silverpush berulang-ulang. Bosan liatnya,Negatif
Aplikasi ini banyak iklan jelek,Negatif
"Aplikasi nya bagus banget, bisa nonton berbagai macam series dan sinetron bahkan Drakor juga. Tapi tolong dong, tayangin tukang bubur naik haji yang dulu di Sinemart. Pengen nonton, soalnya di RCTI plus dan vision+ gabisa dibuka. Ayo tayangin sinetron yang dulu boleh ga, seperti tukang bubur naik haji dan jilbab in love. Please...",Positif
Saya Bru download video sya ksih tga bintg dlu klu bgus sya ksih full,Positif
"Iklannya,,,,,😏😏😏😏😏 beeeeehhhh Ngabisin waktu ,,,, udah waktunya mulai filmnya malah terus-terusan iklan mending di skip langsung selesai,,, udah di skip masih ajah muncul lagi iklannya 😡😡",Negatif
kemahalan harusnya harga antara film dan siaran bola untuk bs konek ke tv dipisah nyesal x terakhir bln 7 sy langanan film konek ke tv gk bs cm bs ke hp doang,Negatif
Udah byar mau lanjut nonton malah gak jelas muter muter Mulu udah beberapa kali,Negatif
"Saya langganan 1 tahun tujuan untuk nonton serie A, kalau serie A tidak tayang tolong direfund uang saya!!",Negatif
"Filmnya bagus-bagus, Tolong Update terus ya Film - film terbaru nya..",Positif
Masih perlu perbaikan,Negatif
"Sudah langganan, kelupaan 2 hari bayar, mau langganan lagi gak bisa-bisa.",Negatif
Baru coba,Negatif
"Kenapa susah banget mau nonton bola,padahal sudah beli paketnya",Negatif
"Aplilasi gak guna,ngapain bayar2 kecuali nonton acara luar negeri baru bayar TOLOLLLL....PENUH2IN APLIKASI AJA",Negatif
👌👌👌👌👌👌,Positif
Apk sangat jelek,Negatif
Saldo gopay dan shopepay udh kepotong namun paket langganan tidak aktif...,Negatif
"Lg nonton enak2 tiba2 iklan mending youtub iklan sekali bisa di skip, ini iklan banyak banget",Negatif
"apk nya bagus cuma iklan'a terlalu mengganggu,",Negatif
Tolong iklannya dibuat lama Kalau bisa 1 jam full iklan,Negatif
Bagus sekali,Positif
Apakah serie a liga italia sudah bisa disaksikan di vidio,Positif
Terimakasih,Positif
"Min saya ada voucher langganan gold mobile tapi ko gak bisa nonton film serial ya ,gimna ya itu",Negatif
paraaah bgt siaran berbayar berhenti2,Negatif
Aplikasi baguss sih dari pada yg lain ... update film nya sama series nya pada bgus bagus.. kalo ada film indo lagi langsung beli lisensinyaa minn.. berapa pun harga bulananya saya siap berlangganan,Positif
Langganan perbulan mahal tp g bisa log in k tv. Cm HP n tablet aja. Biasanya yg lain harga paket sgtu bisa HP n tv tp ini kenapa cm HP n tablet aja. Adduuhhh..,Negatif
Beli paket Indosat bundling vidio 150gb keterangan paket sudah aktif sudah berhasil klaim. Tp pas buka aplikasi vidio masih belum berlangganan. Padahal sudah komplain 3x. Merasa sangat kecewa dan di rugikan.,Negatif
"Tonton keseruan liga eropa, mulai dari LIGA INGGRIS, LA LIGA sampai SERIE A hanya di Vidio! Langganan Vidio Diamond Mobile cm 60rb + kuota 5GB, cek tsel.id/vio Dapat notif sms ini,ehh di aplikasi nya kaga ada SERIE A!!!!",Negatif
"PARAH BANGET! SALDO DANA KEPOTONG TERUS. PADAHAL UDH GA PERNAH MAKE VIDIO. MASSA LANGGANAN NYA JUGA UDAH KELEWAT, PAS ADA DANA DI APLIKASI DANA KEPOTONG OTOMATIS TANPA PERSETUJUAN. GILAAAA",Negatif
Mantab,Positif
Cukup Bintang Yang Berbicara,Negatif
"kuakui series vidio bagus dan menarik menurutku, tapi kenapa ya setiap nonton series tsb ganti episode bufferingnya lama pol, itu ganggu banget.. padahal gaada kendala koneksi sama sekali, dari kuota data sampe wifi kenceng pun masih buffering. sudah berlangganan berharap nonton dengan nyaman malah nunggu buffering yg harusnya bisa diperbaiki lagi tolong ya vidio, saya suka series nya.. tp engga dengan loading nya.",Negatif
Hehe gila ya. Hrga tayangan epl jadi segitu? Gak ngotak sihh.,Negatif
Apik,Positif
Sbnrnya apk ny sih bagus² aja... Tp sengaja gw kasih ⭐1 karna iklan ny terlalu ngespam... Terlalu lama durasi iklan ny,Negatif
Mantap,Positif
mohon untuk dilengkapi film filmnya soalnya kurang lengkap,Negatif
"bener"" lemot sekali untuk streaming series di website, berbayar tpi kualitas sgt kurang dan mengecewakan",Negatif
"Sudah install, akan berlangganan tapi kenapa di tolak terus yaa sama Indosat padahal udah isi pulsa untuk berlangganan 1 tahun.. Gimana nihh?",Negatif
"Pliss lah gua udah langganan bulanan tapi baru tnggal 24 kmaren bayar dan hari ini tiba""saldo ke tarik lagi kenapaaaaaa",Negatif
"Jan donload lgi bro percuma sdh bayar filem gak lengkap,sering gangguan lagi hedeh nyesal mungkin cmn 1 bln ini aj gk jadi berlangganan",Negatif
Gak lengkap banyak iklan bolo,Negatif
Apk nya engga jelas. Film nya itu itu aja,Negatif
aplikasi wastap saya sering hilang tolong di jaga,Negatif
Tidak dapat mendownload video padahal aku suka mendonlod,Negatif
Tiba tiba debet otomatis dari saldo dana pdhl saya g beli paket baru,Negatif
Bagus jernih pokoknya top,Positif
Liga serie a manaaaaaaa...,Negatif
Tidak ada verifikasi perpanjangan paket,Negatif
Cara pembelian paket gimana kak,Positif
"Katanya kalo langganan vidio diamond atau express bisa di hp dan tablet, ini kok malah gak bisa di ipad!?!? Rugi banget, ayo dong yang vener",Negatif
keren,Positif
Makin kesini makin buat muak aplikasinya.. udh jelas berlangganan tapi tiap mau nonton live streaming disuruh beli paket lg.,Negatif
Di coba,Positif
Liga Serie-A gk ada huff makin suram aja Vidio .ayoo adakan lagi,Negatif
Gilaaaa yaaa.. Padahal udh bnyk yg komplain tp ttp aja msh begini... Paraaahhh,Negatif
Sangat baik,Positif
Sangat memuaskan,Positif
Bisakah paket di saksikan di saudi arabia,Positif
Jualan,Positif
Sumpah gue gak bakalan donlot apalagi nonton live... buang² duit beli kuota....,Negatif
Bagus,Positif
Iklan elit nonton sulit,Negatif
"Masukan film lord of the ring ke list, please",Positif
"Kembalikan uang ku yg ke sedot dari dana, aku sudah daftar platinum kenapa di ambil lagi...apa kurang banyak tagihannya",Negatif
"paket tiba tiba hilang ,padahal saya tidak unreg ataupun melakukan hal lain.",Negatif
Iiiiiiih bagus banget,Positif
"Sudah tidak berlangganan, tapi rekening terus disedot, ini sudah terjadi 3 bulan, tolong respon di email",Negatif
"Nih apl udah top buat nonton la liga, cuma kualitas video masih kurang mantep walaupun udah di set ke high, improve lagi dong apl nya.",Negatif
"Saya sudah langganan, tapi begitu mau nonton suruh beli, saya beli, sudah langganan, gimana nih, solusinya?",Negatif
"Sue nih.. Langganan platinum malah gak bisa nonton Serie A. Nyesel.. Udahmah mahal lagi !! (Ok ditunggu jadwal serie A nya) Masukan aja sih ya, di aplikasi sebelah dengan langganan dibawah 100rb udah bisa nonton di TV, sekarang harus ambil paket yg 150rb baru bisa nonton di tv. Setau saya dulu dengan langganan premiere +/- 50rb udah bisa nonton di tv.",Negatif
paketan kadal...didaftarnya ada serie a..ternyata zonk...💩,Negatif
Harus apa yang di kosongkn,Negatif
Vidio ini sangat membantu sekali anak saya bisa nonton kartun movie kesukaannya terimakasi untuk vidio karna berkat adanya vidio saya tidak susah untuk mengatur anak saya sekali lagi trimah kasih,Positif
No komen buat ap bikin apk tapi iklan nya panjang panjang sudah gak bisa di skip lagi bodoh 👎👎👎👎👎,Negatif
Wayang,Negatif
"Sudah berlangganan tetapi video tidak bisa di putar, awal beli platinum kemudian di upgrade juga tidak bisa di putar ,sudah halus cahce unistall juga tetap tidak bisa",Negatif
Sangat membantu,Positif
Bisa nonton film dgn jelas,Positif
Saya sdh bli paket maunya nonton bola gak bisa dibuka padahal pembayarqn sdh sukses,Negatif
Apk sering loading terus gambar selalu freez sangat menggangu pada saat menonton bisa bisa banyak pengguna yg lari dari apk vidio,Negatif
"Maaf saya tidak mau ngasih bintang soal nya, sulit di mengerti susah di pahami, mau lihat main bola indonesia vs India saja harus pake Lika liku.",Negatif
Babi,Negatif
"Aplikasi taikk, habis pulsaku ku dipotong langsung babi, balikin pulsa ku anjeng, bisa"" nya otomatis dipotong anjeng padahal udah berhenti langganan",Negatif
"Jaringan full, tapi nonton sering muter². Mana dah bikin paket. Tolong ditingkatkan lagi biar pelanggan puas",Negatif
apk apaan udah premium sinyal bagus kok tiba tiba filmnya ke close gak jelas,Negatif
Yutube aktip,Negatif
"Saya telah membeli paket platinum lewat akun Google Play dan membayar via gopay... Paketnya belum aktif di Video, atau cara saya yg salah? Mohon petunjuk",Negatif
Terima kasih,Positif
Kenapa seri A gak ada lagi di tabel pemutaran,Negatif
"Min coba dong saya udah beli langganan yang pertama, kenapa saldo saya kebeli lagi seharusnya gabisa dong langganan sama? Tolong refund yang uang saya kedua karna saya tidak merasa melakukan transaksi sendiri!!!",Negatif
Kenapa sih perpanjang otomatis tanpa konfirmasi email atau sandi. Kan saya gak mau berlangganan lagi. Uang saya hilang gitu aja,Negatif
"Kebanyakan iklan,malah gak bisa di skip pula,hadehh, delete dah",Negatif
saya tujuan berlangganan untuk nonton juventus.tapi serie a.tidak ada siarannya. Di paketnya ada. Tetapi setelah membeli tidak ada tayangannya,Negatif
